iter	Logloss
0	0.6067781396
1	0.5568142026
2	0.5268524129
3	0.5048149252
4	0.4890796622
5	0.4800534602
6	0.4716393746
7	0.4650896113
8	0.4599226906
9	0.4569153925
10	0.4518936283
11	0.4484786403
12	0.4456444041
13	0.4434408446
14	0.4412620573
15	0.4391250226
16	0.4375649055
17	0.4338553068
18	0.4316561436
19	0.4303522363
20	0.4294662132
21	0.4267242474
22	0.4255892194
23	0.4223854361
24	0.4211863928
25	0.4183266829
26	0.4169089907
27	0.4149719035
28	0.4122246764
29	0.4094565123
30	0.408097918
31	0.4068537846
32	0.4051033832
33	0.4034723057
34	0.4017689068
35	0.4006498289
36	0.3995194545
37	0.3985527828
38	0.3977891339
39	0.3964709911
40	0.3946307592
41	0.3926358269
42	0.3913063025
43	0.3906344257
44	0.3877058891
45	0.3869660222
46	0.38579904647	0.3746144415
48	0.373151009
49	0.3696766679
50	0.3680941814
51	0.3675796035
52	0.3665557551
53	0.3636539477
54	0.362364223
55	0.3598271096
56	0.3588060482
57	0.3534028417558	0.3508913143
59	0.3491435658660	0.346593503461	0.3544654304
62	0.3530252023
63	0.352036738
6464	0.3406515436565	0.3396199126
66	0.3379944431
67	0.337286222
68	0.33559964
69	0.3341794452
70	0.3317653823
71	0.330527747
72	0.3286035183
73	0.326947646
74	0.325888813
75	0.3254019657
76	0.3241278317
77	0.3231104078
78	0.3218583963
79	0.3195601024
80	0.3191921906
81	0.3185739684
82	0.3177019339
83	0.31549984
84	0.3136521595
85	0.3129243231
86	0.3107671192
87	0.309920122
88	0.3085177835
89	0.307386809
90	0.3059024805
91	0.3045575545
92	0.3007463019
93	0.3002774023
94	0.2992081779
95	0.2983202272
96	0.2975785845
97	0.2956117805
98	0.2936809101
99	0.292718744
100	0.2903571603
101	0.2895563231
102	0.2882512776
103	0.2873992616
104	0.2864544104
105	0.2860936499
106	0.2845971074
107	0.2837043886
108	0.2828360032
109	0.2824666255
110	0.2809839309
111	0.280526502
112	0.2790389954
113	0.2787976281
114	0.2779720513
115	0.2755536794
116	0.2746281634
117	0.2740911549
118	0.2731708247
119	0.2725807626
120	0.2715503635
121	0.2709565408
122	0.2702902103
123	0.2696328351
124	0.2685438505
125	0.2681473007
126	0.2679701534
127	0.2670119647
128	0.2664482921
129	0.265751454
130	0.2645390635
131	0.2627596642
132	0.2620718293
133	0.261318785
134	0.260038658
135	0.2596112022
136	0.2587035446
137	0.2580622048
138	0.2576181346
139	0.2570215816
140	0.2564897678
141	0.2559746664
142	0.2550964058
143	0.2545563628
144	0.2536147139
145	0.252886756
146	0.2523131665
147	0.2512631147
148	0.2504174882
149	0.2495026512
150	0.2490592257
151	0.2484616054
152	0.2479110229
153	0.2475999387
154	0.2470511302
155	0.2464653057
156	0.2458621017
157	0.2452831911
158	0.2449072778
159	0.2435976864
160	0.2426362864
161	0.2421312296
162	0.2413829477
163	0.2407167562
164	0.2402727068
165	0.2399863027
166	0.2392302777
167	0.2383296881
168	0.2374710394
169	0.2365061169
170	0.2361940994
171	0.2358575909
172	0.2353190247
173	0.2343927201
174	0.2339946887
175	0.2331036246
176	0.232494052
177	0.2319120578
178	0.2313938902
179	0.2306827864
180	0.2300533197
181	0.2295266039
182	0.2280512248
183	0.2275881666
184	0.2264570515
185	0.2249372132
186	0.2245427458
187	0.2238960885
188	0.2232653036
189	0.2227597752
190	0.2221865686
191	0.2216365123
192	0.2208379541
193	0.2204660944
194	0.2196833129
195	0.2192850631
196	0.2181285948
197	0.2173505295
198	0.2169647289
199	0.2163405769
200	0.2159968889
201	0.2153712496
202	0.2146275868
203	0.2142172232
204	0.2137345834
205	0.2132608253
206	0.2128331516
207	0.2122029185
208	0.2117095282
209	0.2113340949
210	0.2108911483
211	0.2104458557
212	0.2098833492
213	0.2096937362
214	0.2092845664
215	0.2088238786
216	0.2082108559
217	0.2078036762
218	0.2068157504
219	0.2063839361
220	0.2056552854
221	0.2049968734
222	0.204476744
223	0.204086299
224	0.2035553953
225	0.2031535305
226	0.2027113501
227	0.2021188714
228	0.2017854285
229	0.2015354408
230	0.2010933573
231	0.2006210599
232	0.1994252933
233	0.198905773
234	0.1983888982
235	0.1980669828
236	0.1976084868
237	0.1971428915
238	0.1965692164
239	0.1962820984
240	0.1958644449
241	0.1953191585
242	0.1950359787
243	0.1944541774
244	0.1940768517
245	0.1933067467
246	0.1929648052
247	0.1925379705
248	0.1918636393
249	0.1910729811
250	0.1906239523
251	0.1900176271
252	0.1895477356
253	0.1892530763
254	0.1887257157
255	0.1883297164
256	0.1877240821
257	0.1873010167
258	0.1870263254
259	0.1867795483
260	0.1865196731
261	0.1860989075
262	0.1852710101
263	0.1846645489
264	0.1841419536
265	0.1838316611
266	0.1835820188
267	0.1833777484
268	0.1830759058
269	0.1825490598
270	0.1822098605
271	0.181839008
272	0.1814846901
273	0.1811703729
274	0.1807547067
275	0.1804628858
276	0.1800652691
277	0.179418263
278	0.1788823914
279	0.1786450081
280	0.1781112076
281	0.1775595844
282	0.1773648035
283	0.1768349291
284	0.1766027426
285	0.1762655052
286	0.1757944897
287	0.1755378239
288	0.1752353108
289	0.1747505642
290	0.17422647
291	0.1737078954
292	0.1731962157
293	0.173110521
294	0.1728594811
295	0.1724658999
296	0.1719992175
297	0.1715945626
298	0.17138166
299	0.171069789
300	0.1707896376
301	0.1702010848
302	0.1700073481
303	0.1696137071
304	0.1694322743
305	0.1688018858
306	0.1682801751
307	0.1679678478
308	0.1677084153
309	0.1674364157
310	0.1668747256
311	0.1665474462
312	0.1662017099
313	0.1657119118
314	0.1652984824
315	0.1650793193
316	0.1648689901
317	0.1646887412
318	0.1644581586
319	0.1642067837
320	0.1638255063
321	0.1634498922
322	0.1632017537
323	0.1628353985
324	0.1625410612
325	0.1623114016
326	0.1619720932
327	0.1617496851
328	0.1616298046
329	0.161279449
330	0.1609691358
331	0.1606877277
332	0.1603858382
333	0.1601285619
334	0.1599696451
335	0.1597752964
336	0.1594419492
337	0.159236636
338	0.158937021
339	0.1587025001
340	0.1582700156
341	0.1580269
342	0.1577680436
343	0.1575520407
344	0.1572113308
345	0.156943019
346	0.1566222995
347	0.1562175978
348	0.1558665826
349	0.1556580133
350	0.1553281614
351	0.1551734821
352	0.1550343999
353	0.154932177
354	0.1547226633
355	0.1545490471
356	0.1542169958
357	0.1539802126
358	0.1537196209
359	0.1531454805
360	0.152887103
361	0.1525804612
362	0.1520686139
363	0.1519718944
364	0.1517258342
365	0.1515608594
366	0.1510292853
367	0.1508762815
368	0.1503825332
369	0.1501352761
370	0.1497617941
371	0.1494363342
372	0.1492806253
373	0.1491226062
374	0.1489721403
375	0.1488038269
376	0.1485800793
377	0.1483779738
378	0.1481772809
379	0.1479824773
380	0.1477659836
381	0.1474637098
382	0.1472007955
383	0.1469328298
384	0.1467678444
385	0.1465103058
386	0.1461220382
387	0.1457980159
388	0.1455617485
389	0.145295661
390	0.1449662174
391	0.1446761068
392	0.1444807513
393	0.1440476921
394	0.1437971791
395	0.143746126
396	0.143576831
397	0.1433961165
398	0.1431235903
399	0.1428464086
400	0.1425092658
401	0.1423743026
402	0.1422431316
403	0.1419389333
404	0.1416558732
405	0.1414100643
