iter	Passed	Remaining
0	144	72336
1	145	36264
2	147	24413
3	148	18405
4	149	14766
5	150	12364
6	150	10634
7	152	9367
8	153	8357
9	153	7544
10	154	6879
11	155	6324
12	156	5851
13	158	5509
14	159	5157
15	160	4849
16	161	4576
17	161	4334
18	162	4117
19	163	3921
20	164	3743
21	164	3582
22	165	3435
23	170	3377
24	171	3249
25	171	3132
26	199	3493
27	200	3374
28	201	3265
29	201	3161
30	202	3064
31	203	2976
32	204	2895
33	205	2815
34	206	2741
35	207	2669
36	207	2601
37	208	2536
38	210	2484
39	211	2427
40	211	2372
41	212	2319
42	213	2268
43	214	2220
44	215	2173
45	216	2135
46	217	209547	220	2076
48	221	2037
49	223	2010
50	224	1980
51	226	1951
52	227	1921
53	228	1889
54	229	1860
55	230	1829
56	231	1800
57	233	1779
58	234	1752
59	235	1725
60	236	1704
661	237	1676662	238	1653663	239	163264	241	1615
65	243	1602
66	245	1586
67	247	1570
68	248	1551
69	249	1532
70	250	1512
71	251	1493
72	252	1475
73	253	1456
74	254	1442
75	255	1425
76	257	1412
77	258	1399
78	260	1387
79	261	1374
80	262	1359
81	263	1343
82	264	1329
83	265	1316
84	266	1301
85	267	1288
86	268	1274
87	269	1261
88	270	1249
89	271	1237
90	272	1225
91	274	1216
92	275	1205
93	276	1193
94	278	1185
95	278	1173
96	279	1162
97	280	1150
98	281	1139
99	282	1128
100	283	1121
101	285	1114
102	286	1105
103	288	1100
104	289	1090
105	290	1080
106	291	1071
107	292	1061
108	293	1052
109	294	1044
110	295	1035
111	296	1026
112	297	1018
113	298	1011
114	299	1003
115	300	995
116	302	989
117	303	982
118	304	975
119	305	967
120	306	960
121	308	954
122	309	948
123	310	940
124	311	934
125	312	927
126	313	920
127	314	913
128	315	906
129	315	899
130	316	892
131	317	885
132	318	877
133	318	870
134	319	864
135	320	858
136	321	851
137	322	844
138	322	838
139	323	832
140	324	826
141	325	819
142	326	814
143	327	809
144	328	804
145	329	799
146	331	796
147	332	791
148	333	785
149	334	780
150	336	777
151	337	772
152	338	768
153	339	763
154	340	757
155	341	752
156	341	747
157	342	741
158	344	738
159	346	736
160	347	731
161	348	726
162	348	721
163	349	716
164	350	711
165	351	706
166	351	701
167	352	696
168	353	691
169	353	687
170	354	682
171	355	677
172	356	673
173	356	668
174	357	664
175	358	659
176	359	655
177	359	651
178	360	646
179	361	642
180	362	639
181	363	634
182	364	630
183	364	626
184	365	622
185	366	618
186	366	614
187	367	610
188	368	606
189	369	602
190	369	598
191	370	594
192	371	590
193	372	586
194	372	583
195	373	579
196	374	576
197	375	572
198	376	568
199	376	565
200	377	561
201	378	558
202	379	554
203	379	551
204	380	548
205	381	544
206	382	541
207	383	537
208	383	534
209	384	530
210	385	527
211	386	524
212	386	521
213	387	518
214	388	514
215	389	511
216	389	508
217	390	505
218	391	502
219	392	499
220	392	495
221	393	492
222	394	489
223	394	486
224	395	483
225	396	480
226	396	477
227	397	474
228	398	472
229	399	469
230	400	466
231	401	463
232	401	460
233	402	457
234	403	454
235	404	452
236	404	449
237	405	446
238	406	443
239	407	441
240	407	438
241	408	435
242	409	432
243	410	430
244	410	427
245	411	425
246	412	422
247	413	419
248	413	417
249	414	414
250	415	411
251	416	409
252	416	406
253	417	404
254	418	401
255	419	399
256	419	396
257	420	394
258	421	392
259	422	389
260	422	387
261	423	384
262	424	382
263	424	379
264	425	377
265	426	375
266	426	372
267	427	370
268	428	367
269	429	365
270	429	363
271	430	361
272	431	358
273	432	356
274	432	354
275	433	351
276	434	349
277	435	347
278	435	345
279	436	343
280	437	340
281	438	338
282	438	336
283	439	334
284	440	332
285	440	329
286	441	327
287	442	325
288	443	323
289	443	321
290	444	319
291	445	317
292	445	314
293	446	313
294	447	310
295	448	308
296	449	306
297	449	304
298	450	302
299	451	300
300	451	298
301	452	296
302	453	294
303	454	292
304	454	290
305	455	288
306	456	286
307	456	284
308	457	282
309	458	281
310	459	279
311	460	277
312	460	275
313	461	273
314	462	271
315	463	269
316	463	267
317	464	266
318	465	264
319	466	262
320	467	260
321	468	258
322	468	256
323	469	254
324	470	253
325	471	251
326	471	249
327	472	247
328	473	245
329	473	244
330	474	242
331	475	240
332	476	238
333	477	237
334	477	235
335	479	234
336	480	232
337	481	230
338	481	228
339	482	227
340	483	225
341	484	223
342	484	221
343	485	220
344	486	218
345	486	216
346	487	215
347	488	213
348	489	211
349	489	209
350	490	208
351	491	206
352	491	204
353	492	203
354	493	201
355	494	199
356	495	198
357	496	196
358	496	195
359	497	193
360	498	191
361	498	190
362	499	188
363	500	186
364	501	185
365	501	183
366	502	182
367	503	180
368	504	178
369	504	177
370	505	175
371	506	174
372	507	172
373	507	171
374	508	169
375	509	167
376	510	166
377	510	164
378	511	163
379	512	161
380	513	160
381	513	158
382	514	157
383	515	155
384	515	154
385	516	152
386	517	151
387	518	149
388	518	148
389	519	146
390	520	145
391	520	143
392	521	142
393	522	140
394	523	139
395	523	137
396	524	136
397	525	134
398	526	133
399	526	131
400	527	130
401	528	128
402	528	127
403	529	125
404	530	124
405	531	122
406	532	121
407	532	120
408	533	118
409	534	117
410	534	115
411	535	114
412	536	112
413	536	111
414	537	110
415	538	108
416	539	107
417	540	105
418	540	104
419	541	103
420	542	101
421	542	100
422	543	98
423	544	97
424	545	96
425	545	94
426	546	93
427	547	92
428	547	90
429	548	89
430	549	87
431	550	86
432	550	85
433	551	83
434	552	82
435	552	81
436	553	79
437	554	78
438	555	77
439	555	75
440	556	74
441	557	73
442	558	71
443	558	70
444	559	69
445	560	67
446	561	66
447	561	65
448	562	63
449	563	62
450	563	61
451	564	59
452	565	58
453	566	57
454	567	56
455	567	54
456	568	53
457	569	52
458	570	50
459	570	49
460	571	48
461	572	47
462	573	45
463	573	44
464	574	43
465	575	41
466	575	40
467	576	39
468	577	38
469	578	36
470	578	35
471	579	34
472	580	33
473	580	31
474	581	30
475	582	29
476	583	28
477	583	26
478	584	25
479	585	24
480	586	23
481	586	21
482	587	20
483	588	19
484	589	18
485	589	16
486	590	15
487	591	14
488	592	13
489	592	12
490	593	10
491	594	9
492	594	8
493	595	7
494	596	6
495	597	4
496	597	3
497	598	2
498	599	1
499	600	0
